date,region,product,sales,units_sold,customer_churn
2024-01-01,East,Widget C,1102.53,16,No
2024-01-02,West,Widget A,1564.85,19,No
2024-01-03,North,Widget A,1289.13,20,No
2024-01-04,East,Gadget X,832.93,17,Yes
2024-01-05,East,Widget C,738.48,17,No
2024-01-06,West,Widget A,1157.58,19,Yes
2024-01-07,North,Gadget X,615.93,17,No
2024-01-08,North,Widget C,1563.44,25,No
2024-01-09,East,Gadget X,1369.83,22,No
2024-01-10,South,Widget B,877.25,18,No
2024-01-11,East,Widget A,506.06,24,No
2024-01-12,East,Widget B,1428.16,16,No
2024-01-13,East,Widget C,989.64,21,No
2024-01-14,East,Widget B,1397.34,26,No
2024-01-15,West,Widget B,549.67,22,Yes
2024-01-16,North,Widget C,850.19,23,Yes
2024-01-17,West,Gadget X,1033.57,18,No
2024-01-18,West,Widget B,1048.09,15,No
2024-01-19,West,Gadget X,900.98,23,No
2024-01-20,East,Widget B,1224.85,13,No
2024-01-21,South,Gadget X,719.71,16,No
2024-01-22,North,Widget C,999.29,20,No
2024-01-23,South,Widget B,1080.09,21,No
2024-01-24,West,Widget C,1200.33,16,No
2024-01-25,West,Widget B,1261.48,19,No
2024-01-26,South,Widget C,712.61,22,No
2024-01-27,South,Widget C,591.77,19,No
2024-01-28,South,Widget B,1437.3,17,Yes
2024-01-29,West,Widget B,1155.69,13,No
2024-01-30,West,Widget B,,20,No
2024-01-31,North,Widget A,1525.35,26,No
2024-02-01,North,Gadget X,1096.7,22,Yes
2024-02-02,West,Widget A,,21,No
2024-02-03,South,Widget A,1086.26,21,Yes
2024-02-04,South,Widget C,1686.22,13,Yes
2024-02-05,North,Widget B,,17,No
2024-02-06,West,Gadget X,997.31,24,No
2024-02-07,North,Widget C,1365.47,19,No
2024-02-08,North,Widget A,1269.61,13,No
2024-02-09,East,Widget B,1488.59,15,No
2024-02-10,East,Widget C,790.52,13,No
2024-02-11,East,Widget B,1287.82,24,Yes
2024-02-12,South,Widget C,1401.53,17,No
2024-02-13,West,Widget B,558.38,20,No
2024-02-14,West,Widget A,733.02,21,No
